data,variavel,valor
1992-01-01,Comercializáveis,24.81
1992-01-01,Duráveis,29.15
1992-01-01,Livres,25.49
1992-01-01,Monitorados,28.5
1992-01-01,Não comercializáveis,26.18
1992-01-01,Não-duráveis,28.12
1992-01-01,Semi-duráveis,13.8
1992-01-01,Serviços,25.84
1992-02-01,Comercializáveis,24.23
1992-02-01,Duráveis,26.29
1992-02-01,Livres,23.31
1992-02-01,Monitorados,29.94
1992-02-01,Não comercializáveis,22.4
1992-02-01,Não-duráveis,25.28
1992-02-01,Semi-duráveis,17.78
1992-02-01,Serviços,22.17
1992-03-01,Comercializáveis,21.14
1992-03-01,Duráveis,21.07
1992-03-01,Livres,21.2
1992-03-01,Monitorados,22.48
1992-03-01,Não comercializáveis,21.25
1992-03-01,Não-duráveis,22.16
1992-03-01,Semi-duráveis,19.09
1992-03-01,Serviços,20.74
1992-04-01,Comercializáveis,21.11
1992-04-01,Duráveis,13.2
1992-04-01,Livres,20.04
1992-04-01,Monitorados,19.35
1992-04-01,Não comercializáveis,18.96
1992-04-01,Não-duráveis,20.43
1992-04-01,Semi-duráveis,23.43
1992-04-01,Serviços,20.14
1992-05-01,Comercializáveis,26.08
1992-05-01,Duráveis,21.67
1992-05-01,Livres,25.81
1992-05-01,Monitorados,19.88
1992-05-01,Não comercializáveis,25.52
1992-05-01,Não-duráveis,26.1
1992-05-01,Semi-duráveis,23.89
1992-05-01,Serviços,26.93
1992-06-01,Comercializáveis,20.95
1992-06-01,Duráveis,22.58
1992-06-01,Livres,20.35
1992-06-01,Monitorados,19.46
1992-06-01,Não comercializáveis,19.72
1992-06-01,Não-duráveis,20.64
1992-06-01,Semi-duráveis,21.92
1992-06-01,Serviços,19.07
1992-07-01,Comercializáveis,21.07
1992-07-01,Duráveis,23.33
1992-07-01,Livres,21.42
1992-07-01,Monitorados,24.11
1992-07-01,Não comercializáveis,21.79
1992-07-01,Não-duráveis,21.0
1992-07-01,Semi-duráveis,19.77
1992-07-01,Serviços,22.0
1992-08-01,Comercializáveis,22.3
1992-08-01,Duráveis,27.85
1992-08-01,Livres,21.32
1992-08-01,Monitorados,26.6
1992-08-01,Não comercializáveis,20.31
1992-08-01,Não-duráveis,23.45
1992-08-01,Semi-duráveis,17.49
1992-08-01,Serviços,18.58
1992-09-01,Comercializáveis,25.52
1992-09-01,Duráveis,24.95
1992-09-01,Livres,25.28
1992-09-01,Monitorados,21.26
1992-09-01,Não comercializáveis,25.02
1992-09-01,Não-duráveis,25.25
1992-09-01,Semi-duráveis,26.47
1992-09-01,Serviços,25.03
1992-10-01,Comercializáveis,27.38
1992-10-01,Duráveis,27.36
1992-10-01,Livres,25.94
1992-10-01,Monitorados,21.46
1992-10-01,Não comercializáveis,24.41
1992-10-01,Não-duráveis,27.61
1992-10-01,Semi-duráveis,29.09
1992-10-01,Serviços,22.65
1992-11-01,Comercializáveis,24.97
1992-11-01,Duráveis,25.85
1992-11-01,Livres,23.42
1992-11-01,Monitorados,17.31
1992-11-01,Não comercializáveis,21.73
1992-11-01,Não-duráveis,23.46
1992-11-01,Semi-duráveis,30.94
1992-11-01,Serviços,20.42
1992-12-01,Comercializáveis,27.03
1992-12-01,Duráveis,25.1
1992-12-01,Livres,25.36
1992-12-01,Monitorados,24.51
1992-12-01,Não comercializáveis,23.51
1992-12-01,Não-duráveis,26.03
1992-12-01,Semi-duráveis,31.64
1992-12-01,Serviços,22.43
1993-01-01,Comercializáveis,28.63
1993-01-01,Duráveis,26.32
1993-01-01,Livres,29.91
1993-01-01,Monitorados,32.93
1993-01-01,Não comercializáveis,31.38
1993-01-01,Não-duráveis,30.89
1993-01-01,Semi-duráveis,25.38
1993-01-01,Serviços,31.2
1993-02-01,Comercializáveis,23.76
1993-02-01,Duráveis,30.67
1993-02-01,Livres,24.24
1993-02-01,Monitorados,29.24
1993-02-01,Não comercializáveis,24.79
1993-02-01,Não-duráveis,24.22
1993-02-01,Semi-duráveis,21.82
1993-02-01,Serviços,23.54
1993-03-01,Comercializáveis,27.68
1993-03-01,Duráveis,24.88
1993-03-01,Livres,27.76
1993-03-01,Monitorados,24.51
1993-03-01,Não comercializáveis,27.84
1993-03-01,Não-duráveis,28.06
1993-03-01,Semi-duráveis,25.57
1993-03-01,Serviços,28.86
1993-04-01,Comercializáveis,29.19
1993-04-01,Duráveis,26.23
1993-04-01,Livres,27.5
1993-04-01,Monitorados,29.15
1993-04-01,Não comercializáveis,25.63
1993-04-01,Não-duráveis,28.28
1993-04-01,Semi-duráveis,32.85
1993-04-01,Serviços,25.0
1993-05-01,Comercializáveis,26.99
1993-05-01,Duráveis,26.1
1993-05-01,Livres,27.37
1993-05-01,Monitorados,29.48
1993-05-01,Não comercializáveis,27.81
1993-05-01,Não-duráveis,26.94
1993-05-01,Semi-duráveis,27.01
1993-05-01,Serviços,28.41
1993-06-01,Comercializáveis,30.81
1993-06-01,Duráveis,29.8
1993-06-01,Livres,30.05
1993-06-01,Monitorados,30.16
1993-06-01,Não comercializáveis,29.2
1993-06-01,Não-duráveis,30.58
1993-06-01,Semi-duráveis,30.88
1993-06-01,Serviços,29.11
1993-07-01,Comercializáveis,31.51
1993-07-01,Duráveis,26.76
1993-07-01,Livres,29.9
1993-07-01,Monitorados,35.26
1993-07-01,Não comercializáveis,28.05
1993-07-01,Não-duráveis,31.14
1993-07-01,Semi-duráveis,30.52
1993-07-01,Serviços,28.78
1993-08-01,Comercializáveis,32.19
1993-08-01,Duráveis,31.45
1993-08-01,Livres,32.52
1993-08-01,Monitorados,35.3
1993-08-01,Não comercializáveis,32.91
1993-08-01,Não-duráveis,33.02
1993-08-01,Semi-duráveis,28.65
1993-08-01,Serviços,33.5
1993-09-01,Comercializáveis,35.43
1993-09-01,Duráveis,29.35
1993-09-01,Livres,35.6
1993-09-01,Monitorados,36.14
