data,variavel,valor
2000-01-01,DP,0.47
2000-01-01,EX0,0.56
2000-01-01,EX3,0.33
2000-01-01,MS,0.48
2000-01-01,Média dos núcleos,0.43600000000000005
2000-01-01,P55,0.34
2000-02-01,DP,0.32
2000-02-01,EX0,0.45
2000-02-01,EX3,0.21
2000-02-01,MS,0.44
2000-02-01,Média dos núcleos,0.31000000000000005
2000-02-01,P55,0.13
2000-03-01,DP,0.21
2000-03-01,EX0,0.05
2000-03-01,EX3,-0.03
2000-03-01,MS,0.37
2000-03-01,Média dos núcleos,0.13999999999999999
2000-03-01,P55,0.1
2000-04-01,DP,0.6
2000-04-01,EX0,0.87
2000-04-01,EX3,0.22
2000-04-01,MS,0.45
2000-04-01,Média dos núcleos,0.4640000000000001
2000-04-01,P55,0.18
2000-05-01,DP,0.18
2000-05-01,EX0,0.2
2000-05-01,EX3,0.16
2000-05-01,MS,0.35
2000-05-01,Média dos núcleos,0.18
2000-05-01,P55,0.01
2000-06-01,DP,0.28
2000-06-01,EX0,0.3
2000-06-01,EX3,0.36
2000-06-01,MS,0.42
2000-06-01,Média dos núcleos,0.292
2000-06-01,P55,0.1
2000-07-01,DP,0.84
2000-07-01,EX0,0.26
2000-07-01,EX3,0.12
2000-07-01,MS,0.58
2000-07-01,Média dos núcleos,0.476
2000-07-01,P55,0.58
2000-08-01,DP,0.72
2000-08-01,EX0,0.34
2000-08-01,EX3,0.38
2000-08-01,MS,0.58
2000-08-01,Média dos núcleos,0.4739999999999999
2000-08-01,P55,0.35
2000-09-01,DP,0.24
2000-09-01,EX0,0.23
2000-09-01,EX3,0.28
2000-09-01,MS,0.4
2000-09-01,Média dos núcleos,0.25599999999999995
2000-09-01,P55,0.13
2000-10-01,DP,0.18
2000-10-01,EX0,0.23
2000-10-01,EX3,0.22
2000-10-01,MS,0.4
2000-10-01,Média dos núcleos,0.22600000000000003
2000-10-01,P55,0.1
2000-11-01,DP,0.24
2000-11-01,EX0,0.13
2000-11-01,EX3,0.18
2000-11-01,MS,0.3
2000-11-01,Média dos núcleos,0.20800000000000002
2000-11-01,P55,0.19
2000-12-01,DP,0.44
2000-12-01,EX0,0.2
2000-12-01,EX3,0.24
2000-12-01,MS,0.36
2000-12-01,Média dos núcleos,0.308
2000-12-01,P55,0.3
2001-01-01,DP,0.47
2001-01-01,EX0,0.37
2001-01-01,EX3,0.35
2001-01-01,MS,0.41
2001-01-01,Média dos núcleos,0.388
2001-01-01,P55,0.34
2001-02-01,DP,0.55
2001-02-01,EX0,0.58
2001-02-01,EX3,0.38
2001-02-01,MS,0.52
2001-02-01,Média dos núcleos,0.4960000000000001
2001-02-01,P55,0.45
2001-03-01,DP,0.36
2001-03-01,EX0,0.28
2001-03-01,EX3,0.32
2001-03-01,MS,0.57
2001-03-01,Média dos núcleos,0.364
2001-03-01,P55,0.29
2001-04-01,DP,0.44
2001-04-01,EX0,0.4
2001-04-01,EX3,0.31
2001-04-01,MS,0.46
2001-04-01,Média dos núcleos,0.4
2001-04-01,P55,0.39
2001-05-01,DP,0.51
2001-05-01,EX0,0.38
2001-05-01,EX3,0.42
2001-05-01,MS,0.6
2001-05-01,Média dos núcleos,0.466
2001-05-01,P55,0.42
2001-06-01,DP,0.79
2001-06-01,EX0,0.27
2001-06-01,EX3,0.38
2001-06-01,MS,0.73
2001-06-01,Média dos núcleos,0.524
2001-06-01,P55,0.45
2001-07-01,DP,1.08
2001-07-01,EX0,0.6
2001-07-01,EX3,0.62
2001-07-01,MS,0.65
2001-07-01,Média dos núcleos,0.7060000000000001
2001-07-01,P55,0.58
2001-08-01,DP,0.7
2001-08-01,EX0,0.52
2001-08-01,EX3,0.56
2001-08-01,MS,0.56
2001-08-01,Média dos núcleos,0.582
2001-08-01,P55,0.57
2001-09-01,DP,0.4
2001-09-01,EX0,0.23
2001-09-01,EX3,0.46
2001-09-01,MS,0.57
2001-09-01,Média dos núcleos,0.4
2001-09-01,P55,0.34
2001-10-01,DP,0.56
2001-10-01,EX0,0.5
2001-10-01,EX3,0.39
2001-10-01,MS,0.57
2001-10-01,Média dos núcleos,0.48200000000000004
2001-10-01,P55,0.39
2001-11-01,DP,0.63
2001-11-01,EX0,0.6
2001-11-01,EX3,0.61
2001-11-01,MS,0.77
2001-11-01,Média dos núcleos,0.634
2001-11-01,P55,0.56
2001-12-01,DP,0.72
2001-12-01,EX0,0.77
2001-12-01,EX3,0.92
2001-12-01,MS,0.78
2001-12-01,Média dos núcleos,0.7519999999999999
2001-12-01,P55,0.57
2002-01-01,DP,0.57
2002-01-01,EX0,0.49
2002-01-01,EX3,0.44
2002-01-01,MS,0.52
2002-01-01,Média dos núcleos,0.524
2002-01-01,P55,0.6
2002-02-01,DP,0.52
2002-02-01,EX0,0.83
2002-02-01,EX3,0.46
2002-02-01,MS,0.54
2002-02-01,Média dos núcleos,0.554
2002-02-01,P55,0.42
2002-03-01,DP,0.53
2002-03-01,EX0,0.43
2002-03-01,EX3,0.54
2002-03-01,MS,0.58
2002-03-01,Média dos núcleos,0.538
2002-03-01,P55,0.61
2002-04-01,DP,0.52
2002-04-01,EX0,0.51
2002-04-01,EX3,0.53
2002-04-01,MS,0.56
2002-04-01,Média dos núcleos,0.528
2002-04-01,P55,0.52
2002-05-01,DP,0.4
2002-05-01,EX0,0.52
2002-05-01,EX3,0.53
2002-05-01,MS,0.51
2002-05-01,Média dos núcleos,0.484
2002-05-01,P55,0.46
2002-06-01,DP,0.38
2002-06-01,EX0,0.16
2002-06-01,EX3,0.31
2002-06-01,MS,0.4
2002-06-01,Média dos núcleos,0.282
2002-06-01,P55,0.16
2002-07-01,DP,0.86
2002-07-01,EX0,0.49
2002-07-01,EX3,0.56
2002-07-01,MS,0.51
2002-07-01,Média dos núcleos,0.62
2002-07-01,P55,0.68
2002-08-01,DP,0.7
2002-08-01,EX0,0.4
2002-08-01,EX3,0.48
2002-08-01,MS,0.65
2002-08-01,Média dos núcleos,0.55
2002-08-01,P55,0.52
2002-09-01,DP,0.66
2002-09-01,EX0,0.61
2002-09-01,EX3,0.69
2002-09-01,MS,0.78
2002-09-01,Média dos núcleos,0.662
2002-09-01,P55,0.57
2002-10-01,DP,0.97
2002-10-01,EX0,0.74
2002-10-01,EX3,0.73
2002-10-01,MS,0.78
2002-10-01,Média dos núcleos,0.8059999999999998
2002-10-01,P55,0.81
2002-11-01,DP,1.95
2002-11-01,EX0,1.17
2002-11-01,EX3,1.21
2002-11-01,MS,1.32
2002-11-01,Média dos núcleos,1.5
2002-11-01,P55,1.85
2002-12-01,DP,1.75
2002-12-01,EX0,1.66
2002-12-01,EX3,1.84
2002-12-01,MS,1.36
2002-12-01,Média dos núcleos,1.67
2002-12-01,P55,1.74
2003-01-01,DP,1.84
2003-01-01,EX0,1.38
2003-01-01,EX3,1.46
2003-01-01,MS,1.32
2003-01-01,Média dos núcleos,1.542
2003-01-01,P55,1.71
2003-02-01,DP,1.35
2003-02-01,EX0,0.99
2003-02-01,EX3,0.62
2003-02-01,MS,0.93
2003-02-01,Média dos núcleos,0.916
2003-02-01,P55,0.69
2003-03-01,DP,1.2
2003-03-01,EX0,1.13
2003-03-01,EX3,1.36
2003-03-01,MS,1.23
2003-03-01,Média dos núcleos,1.162
2003-03-01,P55,0.89
2003-04-01,DP,0.98
2003-04-01,EX0,0.81
2003-04-01,EX3,0.99
2003-04-01,MS,1.1
2003-04-01,Média dos núcleos,0.9380000000000001
2003-04-01,P55,0.81
2003-05-01,DP,0.85
2003-05-01,EX0,0.56
2003-05-01,EX3,0.9
2003-05-01,MS,1.0
2003-05-01,Média dos núcleos,0.788
2003-05-01,P55,0.63
2003-06-01,DP,0.4
2003-06-01,EX0,0.52
2003-06-01,EX3,0.81
2003-06-01,MS,0.87
2003-06-01,Média dos núcleos,0.56
2003-06-01,P55,0.2
2003-07-01,DP,0.47
2003-07-01,EX0,0.37
2003-07-01,EX3,0.4
2003-07-01,MS,0.65
2003-07-01,Média dos núcleos,0.45199999999999996
